17,Puting Beliung,3/5/2014,16.00 WIB,110.222,-7.46398,Ds. Keragilan Utara Kec. Serumbung Kab. Magelang Prov. Jawa Tengah,nihil,2 Rumah RR tertimpa pohon manggis (Masih dalam pendataan),"*Kronologis : - Karena angin kencang disertai hujan *Upaya : - BPBD menurunkan TRC bersama dengan SAR kab. Magelang PMI, TNI, POLRI dan TAGANA bersama sama masyarakat mebersihkan puing dan pohon yang tumbang - BPBD memberikan suplai logistik",
20,Puting Beliung,3/5/2014,15:30 WIB,105.786,-5.73915,Ds. Gandri Kec. Penegahan Ds. Sumbersari Ds. Sumberagung Ds. Marga jasa Kec. Selagi Ds. Sidomukti Ds. Brundung Ds. Lebungnala Kec. Ketapang Kab. Lampung Selatan Prov. Lampung,2 orang luka ringan,350 unit rumah rusak ringan-rusak berat,"*Kronologis : Hujan deras disertai angin kencang *Upaya : BPBD Setempat sudah memberikan bantuan makanan, mendirikan 4 tenda dan masih melakukan pendataan",
21,Puting Beliung,3/5/2014,13:00 WIB,112.122,-7.03934,Ds. Magersari Kec. Plumpang Kab. Tuban Prov. Jawa Timur,Nihil,1 unit rumah rusak berat,*Kronologis : Hujan deras disertai angin kencang *Upaya : BPBD masih melakukan pendataan di lokasi kejadian,
25,Puting Beliung,3/3/2014,15:00 WIB,113.858,-7.00956,dsn. Duwek Labuh Ds. DelemanKec. Ganding Kab. Sumenep Prov. Jawa Timur,- 1 orang luka ringan (LR) an. Bpk. Baihaqi (L/40 th),- 1 Unit rumah rusak sedang (RS),*Kronologis : - Hujan deras disertai angin kencang *Upaya : - BPBD setempat bersama warga sudah membersihkan puing-puing pohon yang roboh dengan alat sederhana,
26,Puting Beliung,3/2/2014,05:00 WIB,108.35,-7.33333,Ds. Janggala Kec. Cidolog Kab. Ciamis Prov. Jawa Barat,nihil,- 1 Unit masjid rusak berat (RB),*Kronologis : - Hujan deras disertai angin kencang *Upaya : - BPBD setempat masih berusaha mengusulkan bantuan untuk memperbaiki masjid,
27,Puting Beliung,2/9/2014,12:00 WIB,108.915,-7.52426,Ds. Kalikudi Kec. Adipala Dsn. Rawasari Ds. Rawajaya Kec. Bantarsari Kab.Cilacap Prov. Jawa Tengah,Nihil,*Kerugian Materil : - Ds. Kalikudi: 1 unit Rumah a.n Bpk. Tumbas Kartodiarjo rusak berat. - Dsn. Rawasari : 1 unit rumah a.n Bpk.Supriyono ( 40 ),*Kronologis : Akibat hujan deras disertai angin kencang *Upaya : Bersama Muspika cek lokasi dan inventaris data yang terkena dampak bencana.,
28,Puting Beliung,2/5/2014,04.00 WIB,109.319,-7.23874,Ds. Kutabawa Kec. Karang reja Kab. Purbalingga Prov. Jateng,1 kk/5 jiwa mengungsi,1 unit rumah RB diterpa angin kencang an. Bp. Miarso/Susah,*Kronologis : Angin kencang *Upaya : BPBD menyalurkan logistik dan bantuan matrial bangunan,
29,Puting Beliung,2/3/2014,14.00 WIB,111.415,-6.90501,Kel. Jetis Kel. Mlangsen Kel. Kedungjenar Kec. Blora Kab. Blora Prov. Jawa Tengah,Nihil,18 unit rumah rusak ringan,*Kronologis: Akibat hujan deras *Upaya: - BPBD Jawa Tengah beserta SKPD terkait melakukan kesiapsiagaan sebagai antisipasi apabila terjadi bencana. - BPBD Prov. Jateng melaksanakan pemantauan melalui Posko AJU selama 24 jam untuk mengetahui kondisi terkini penanganan bencana di 35 Kab/Kota seﾖJateng.,
30,Puting Beliung,2/3/2014,,106.8,-6.6,Ds.Ciomas Ds. Mekarjaya Kec. Ciomas Kab. Bogor Prov. Jabar,"-Ds. Mekarjaya Kp. Dampit Rt. 01/08 7 jiwa terdampak - Ds. Ciomas Rt. 03/08, 3 KK terdampak","- Ds. Mekarjaya Kp. Dampit Rt. 01/08, 3 unit rumah rusak. - Ds. Ciomas Rt. 03/08, 3 kk 1 unit rumah rusak",*Kronologis : Akibat angin kencang *Upaya : Mengevakuasi korban ke tempat yang lebih aman,
31,Puting Beliung,1/25/2014,09.00 WITA,125.406,2.7495,Kab. Sitaro Sulawesi Utara,Meninggal Dunia: 1. Atris Antarameng 2. Cornela Manutur 3. Adonika Sidangoli 6 orang Luka-luka dengan nama-nama sbb: 1. Suntje Mugawe 2. Regina Sidangoli 3. Respin Muliku 4. Suntje Mangale 5. Wilson Kendung 6. Steven Mananuas 30 Orang hilang dengan nama-nama sbb: 1. Hesny Tatataung/L 2. Tasmas Laehe/L 3. Matias Masalah/L 4. Simon Berhimpong/L 5. Yesaya Berhimpong/L 6. Stenley Kalangit/L 7. Davit Lombone/L 8. Natang Manope/L 9. Aratete Sindangoli/L 10. Wilky Kuate/L 11. Yohanis Magantara/L 12. Adrianus Diarang/L 13. Richard Kendung/L 14. Alfrets Antarameng/L 15. Ibrief Antarameng/L 16. M.Manutar/P 17. Sumarni Muliku/P 18. Lintje Ansu/P 19. Tjuhing Bawuka/P 20. Rit Berhimpong/P 21. Erni Berhimpong/P 22. Masni Berhimpong/P 23. Sarah Manutur/P 24. Densy Londah/P 25. Nurhayati Goha/P 26. Rapiah Mudiha/P 27. Sufianty Goha/P 28. Shinta Sumenda/P 29. Martina Goha/P 30. Mayana Daud/P,Masih dalam pendataan,*Kronologis: perahu yang mengangkut warga citaro ke kota diterjang banjir sehingga perahu terguling dan rusak. *Upaya: - BPBD Provinsi sudah ke lokasi sudah melakukan pendataan. - BASARNAS masih melakukan pencarian korban yang hilang,
