13,Banjir,3/13/2014,15:30 WIB,117.594,-8.63252,Ds. Dete Ds. Dete Atas Ds. Dete Bawah Kec. Lape Kab. Sumbawa Prov. NTB,Nihil,Masih dalam pendataan,*Kronologis : Akibat hujan deras *Upaya : BPBD setempat sudah ke lokasi untuk melakukan pendataan dan evakuasi,,,,,,,,,,,
14,Banjir,3/12/2014,22:00 WIB,107.802,-6.95195,Ds. Sukadana Ds. Cihanjuang Ds. Mangunharja Ds. Sawah Dadap Kec. Cimanggung Kab. Sumedang Prov. Jawa Barat,Nihil,Merendam 4 desa (banjir sudah surut kembali),*Kronologis : Hujan dengan intensitas tinggi *Upaya : Muspika dan masyarakat sudah antisipasi dikarenakan daerah tersebut memang langganan banjir,,,,,,,,,,,
15,Banjir,3/11/2014,15:30 WIB,110.675,-7.66908,Ds. Ceper Kec. Ceper Kab. Klaten Prov. Jawa Tengah,Nihil,"1 Sekolah Dasar, 1 taman Kanak - Kanak (Pertiwi), 4 Rumah warga terendam air setinggi 10 - 30 cm",*Kronologis : Akibat hujan deras *Upaya : BPBD bersama warga bergotong royong membersihkan air dan lumpur di lokasi kejadian.,,,,,,,,,,,
16,Banjir,3/9/2014,16:00 WIB,108.297,-7.24109,Ds. Mekarjati Kec. Sadananya Kab. Ciamis Prov. Jawa Barat,Nihil,1 Unit rumah (RB) dan 2 Unit rumah (RS),*Kronologis : Hujan lebat sehingga mengakibatkan meluapnya air dan jebolnya bibir Sungai Cileueur *Upaya :Masyarakat dan BPBD Kab. Ciamis maupun relawan bergotong - royong membantu korban dan menyalurkan sembako bantuan dari BPBD Prov. Jabar,,,,,,,,,,,
17,Banjir,3/9/2014,12:00 WIB,113.88,-6.93322,Perum.Desa Batuan Ds.Batuan Kec.Batuan Kab.Sumenep Prov.Jawa Timur,Nihil,-Jalan Raya sepanjang 750 meter (RB) -1 Pondok pesantren (RS) -Jalan utama penghubung antar desa putus (RB),*Kronologis: -Hujan lebat yang cukup lama dilokasi kejadian bencana berlangsung *Upaya: -BPBD setempat bersama masyarakat membersihkan jalan yang rusak,,,,,,,,,,,
18,Banjir,3/9/2014,01:00 WIB,107.415,-6.88464,Ds. Cipangeran Kec. Saguling Kab. Bandung Barat Prov. Jawa Barat,"- Di Kp. Kesbang, 3 KK / 8 Jiwa mengungsi - Di Kp. Cipeundeuy, 2 Jiwa mengungsi - Kp. Cikuda, 3 Jiwa mengungsi","- Di Kp. Kesbang, 1 Unit rumah (RB), 2 Unit rumah (RR) - Di Kp. Cipeundeuy, 1 Unit rumah (RB) - Kp. Cikuda, 1 Unit rumah (RS) - Kp. Cibeying, Kp. Cukang Batu, Kp. Cimentrik 13 Unit rumah (RR)",*Kronologis : Hujan lebat yang cukup lama *Upaya : BPBD setempat melakukan koordinasi untuk penanganan dan pengevakuasian korban yang terkena dampak banjir,,,,,,,,,,,
19,Banjir,3/7/2014,19:00 WIB,106.8,-6.6,RT.01/02 Kp. Cijayanti Ds. Cijayanti Kec. Babakan Madang Kab. Bogor Prov. Jawa Barat,- 5 KK/21 Jiwa,- 3 unit Rumah Terendam,*Kronologis : - Akibat hujan deras *Upaya : -Tim TRC BPBD Kab. Bogor sebanyak 15 orang masih stand by dilapangan untuk mengantisipasi banjir susulan. *Kondisi Mutakhir: - TMA 80 cm,,,,,,,,,,,
20,Banjir,3/7/2014,18:00 WIB,107.91,-7.35703,Ds. Karang Pawitan Kec. Patrol Kab. Garut Prov. Jawa Barat,Nihil,"4 Ha sawah terendam, 5 unit rumah terendam, dan 1 rumah RR",*Kronologis : Akibat Hujan deras *Upaya : BPBD setempat sudah ke lokasi kejadian untuk melakukan pendataan dan mengevakuasi warga,,,,,,,,,,,
22,Banjir,3/4/2014,13:45 wib,110.222,-7.46398,Ds. Wonolelo Kec. Sawangan Kab. Magelang Prov. Jawa Tengah,nihil,nihil,* Kronologis : - Akibat hujan *Upaya : - BPBD Kab. Magelang melakukan pemantauan sepanjang Sungai Pabelan dari hulu s/d hilir,,,,,,,,,,,
23,Banjir Bandang,3/4/2014,22:00 WIB,108.214,-7.32795,RT. 012/06 Kamp. Canukur Ds. Pakalongan Kec. Sodong hilir Kab. Tasikmalaya Prov. Jawa Barat,nihil,- 1 rumah Rusak Berat - 1 Kandang Ayam Rusak Berat - 1 Musholah Rusak Sedang - 9 Kolam Ikan Rusak Berat - 5 Rumah Rusak Sedang - 2 Ha Sawah Gagal panen dan rusak,"* Kronologis : - akibat hujan deras, disertai longsoran yang menutup aliran sungai cicanukur, sehingga Sungai Cicanukur meluap. * Upaya : - BPBD bersama Relawan, TNI, POLRI, dinas PU dan warga setempat bergotong royong melakukan evakuasi dan pembersihan. - BPBD memberikan bantuan logistik berupa sembako dan alat-alat dapur.",,,,,,,,,,,
24,Banjir,3/3/2014,02:00 wib,106.8,-6.6,RT.01/02 RT.04/12 Kel. Cibinong Kec. Cibinong Kab. Bogor Prov. Jawa Barat,nihil,Nihil,*Kronologis : - Akibat hujan deras *Upaya : - Tim BPBD Kab. Bogor sudah berada dilapangan dan diperkuat dengan 3 unit Perahu.,,,,,,,,,,,
25,Banjir,3/3/2014,03:20 WIB,107.608,-6.91486,Jl. Cingised Perempatan Gedebage Kota Bandung Prov. Jawa Barat,nihil,- Perempatan Gedebage TMA 50-70 cm untuk ke arah timur & Perempatan Gedebage TMA 50-100 cm untuk ke arah utara. - Jl. Cingised TMA 20 cm,*Kronologis : - Akibat hujan deras *Upaya : - masih melakukan pendataan,,,,,,,,,,,
26,Banjir,3/2/2014,21:30 WIB,107.608,-6.91486,Ds. Balenendaha Kec. Bojongsoang Kec. Dayeuhkolot Kab. Bandung Prov. Jawa Barat,- 25 jiwa mengungsi,Nihil,"*Kronologis : - Akibat hujan deras *Upaya : - BPBD setempat bersama TNI/Polri sudah ke lokasi untuk mengevakuasi korban dan memberikan bantuan berupa makanan instan, makanan siap saji, dan family kids. *Kondisi Mutakhir : -Air sudah berangsur-angsur surut",,,,,,,,,,,
27,Banjir,3/2/2014,21:30 WIB,107.608,-6.91486,Kec. Baleendah Kec. Bojongsoang Kec. Dayeuhkolot Kab. Bandung Prov. Jawa Barat,- Kec. Baleendah = Gd. Relawan terdapat 19 KK/89 Jiwa (2 Manula dan 7 Balita). = GOR Kel. Baleendah (Masih dalam pendataan) = Rusunawa 20 KK -Kec. Bojongsoang = Gudang Tanggo 20 KK. = Kec. Dayeuhkolot = SMP Binanegara KL. 20 KK = Kantor Kecamatan (Masih dalam pendataan) = Kantor Koramil Dayeuhkolot (Masih dalam pendataan),nihil,"*Kronologis : - Akibat hujan deras *Upaya : -Pendistribuan logistik berupa (Family kit, Mie Instan, air mineral, susu dan makanan bayi, makanan siap saji dan pendataan) - sampai saat ini BPBD Kab. Bandung di bantu TNI atau Polri dan relawan masih melakukan upaya evakuasi dan pendataan. *kondisi Mutakhir : - TMA masih belum surut - cuaca mendung - Jumlah pengungsi bertambah",,,,,,,,,,,
28,Banjir,3/2/2014,06:00 WIB,106.869,-6.2733,Kel. Cililitan Kec. Kramat Jati Kota Jakarta Timur Prov. DKI Jakarta,- Terdampak :sebanyak 39 KK /141 Jiwa dengan rincian sbb : - RW.06 - RT. 001(40 KK/120 Jiwa) - RT. 003(21 KK/76 Jiwa) - RT. 004(25 KK/100 Jiwa) - RW.07 - RT. 001(5 KK/15 Jiwa) - RT. 006(33 KK/110 Jiwa) - RT. 007(3 KK/12 Jiwa) - RT. 008(10 KK/40 Jiwa) - RT. 012(5 KK/15 Jiwa) = RW.015 -RT. 001(5 KK/15 Jiwa) = RW.016 - RT. 008(30 KK/120 Jiwa) -RT. 010(5 KK/20 Jiwa),Dalam pendataan,"*Kronologis : - Hujan dengan intensitas tinggi *Upaya : - BPBD setempat melakukan pendataan jumlah yang terdampak - Warga diungsikan ke rumah warga, musholah, masjid, sekolah dan PAUD - Membuka Posko kesehatan tidak jauh dari pengungsian. *Kondisi Mutakhir : -RW. 06, TMA 50-100 cm - RW. 07, TMA 50-150 cm - RW. 015, TMA 50 cm - RW. 016, TMA 50 cm",,,,,,,,,,,
29,Banjir,3/2/2014,06.00 WIB,106.869,-6.2733,Kel. Cililitan Kec. Kramat Jati Kota Jakarta Timur Prov. DKI Jakarta,- Terdampak : Sebanyak 39 KK /141 Jiwa dengan rincian sbb : - Rw.6, 17 KK /55 Jiwa - Rw 7, 20 kk/79 jiwa - Rw 16, 2 kk/6 jiwa,Dalam pendataan,,,,,,,,,
30,Banjir,3/2/2014,02:00 wib,105.267,-5.45,Kel. Kalibata Kencana Kec. Sukabumi Kota Bandar Lampung Prov. Lampung,nihil,rumah dari 50 kk terendam air setinggi 1 m,*Kronologis : - Hujan dengan intensitas tinggi *Upaya : - BPBD setempat sdh kelokasi untuk pendataan,,,*Kronologis : Akibat hujan deras *Upaya : BPBD setempat sudah ke lokasi untuk melakukan pendataan dan evakuasi,,,,,,,,
31,Banjir,3/1/2014,09:00 WIB,107.759,-6.57159,Kec. Legon Kulon Ds. Karang Mulya Makam Panjang Kamp. Padak Kamp. Wanajaya Kec. Pusaka Negara Ds. Patimban Kamp. Galiah Kamp. Siwalah Kab. Subang Prov. Jawa Barat,nihil,Nihil,"*Kronologis : - Akibat hujan dengan intensitas tinggi menyebabkan Sungai Cipunegara meluap dan tanggul jebol *Upaya : - Satlak masih terus mendata, memantau dan memberikan bantuan logistik seperti makanan, sandang dan karung untuk tanggul. *Kondisi Mutakhir : -air sudah mulai surut tetapi masih ada genangan setinggi 10-40 cm",,,,,,,,,,,
32,Banjir,3/1/2014,21:00 WIB,111.514,-7.62971,Ds. Buduran Ds. Ngadirejo Kec. Wonoasri Kab. Madiun Prov. Jawa Timur,nihil,300 unit rmh terendam air setinggi 40-60 cm,*Kronologis : - Hujan deras *Upaya : - BPBD setempat sdh kelokasi untuk membersihkan pohon-pohon yang tumbang di jalan dan melakukan pendataan,,,,,,,,,,,
33,Banjir,3/1/2014,06.00 WIB,106.846,-6.20876,Kota Jakarta Timur Kota Jakarta Selatan Kota Jakarta Barat Prov. DKI Jakarta,- Total pengungsi 283 Jiwa tersebar di 13 lokasi dengan perincian sbb : &#61692, Jakarta Timur 78 Jiwa tersebar di 9 lokasi &#61692, Jakarta Selatan Nihil &#61692, Jakarta Pusat Nihil &#61692, Jakarta Barat 205 Jiwa di 4 lokasi &#61692,,,,,,,,,
35,Banjir,2/8/2014,21.00 WIB,113.153,-7.74399,Desa Banjarsari Kec. Sumber Asih Kab. Probolinggo Prov. Jawa Timur,Nihil,8 rumah tergenang,"*Kronologis : Hujan di wilayah selatan, Menyebabkan sungai Patalan meluap. *Upaya : BPBD Kabupaten Probolinggo pagi ini sedang melakukan pengecekan kembali.",,,,,,,,,,,
36,Banjir,2/8/2014,21.00 WIB,113.196,-7.79582,"Kel.Sumberwetan, Kel. Karenglor Kel. Kedopok Kec. Kedopok Kota Probolinggo Prov. Jawa Timur",Nihil,200 rumah tergenang,"*Kronologis : Tgl 8 Februari malam, plengsengan sungai Legundi Kec. Kedopok jebol 10-15M. Masuk kepemukiman dengan tinggi air 60-70cm. Penyebabnya air kiriman dari kab. Probolinggo. *Upaya : - BPBD Probolinggo menyiapkan makanan siap saji, dapur umum, - Kerja bakti bersih-bersih rumah penduduk dan pintu air sungai Legundi beserta pramuka, batalion timur, koramil, tagana, PMI, Dinas PU.",,,,,,,,,,,
